-602,500,15
-570,500,15
-88,499,14
384,35,11
331,100,12
-994,500,12
-715,500,11
-959,500,9
36,387,7
395,100,6
276,207,7
272,135,5
-770,500,5
-710,500,5
106,325,4
-594,500,3
-531,500,3
319,96,3
273,146,2
-606,500,2
66,389,2
-562,500,2
-858,500,2
-550,500,1
-658,500,1
-542,500,1
415,88,1
287,192,1
-548,500,1
-548,500,1
-568,500,1
-560,500,1
-564,500,0
-535,500,1
-623,500,0
-551,500,0
-543,500,0
-209,288,0
331,156,0
-267,330,0
8,87,0
-555,500,0
6,85,0
491,12,0
493,10,0
495,8,0
-555,500,0
-539,500,0
-555,500,0
-623,500,0
40,63,1
488,15,0
489,14,0
495,8,0
495,8,0
477,18,0
495,8,0
493,10,0
490,9,0
493,10,0
495,8,0
490,9,1
490,9,0
399,32,0
485,18,0
495,8,0
495,8,0
493,10,0
495,8,0
488,15,1
279,56,0
495,8,0
495,8,0
495,8,0
490,9,0
495,8,0
488,15,0
495,8,1
495,8,0
-654,500,0
-37,112,0
494,9,1
495,8,1
495,8,0
495,8,0
493,10,0
495,8,0
495,8,0
410,81,0
495,8,0
495,8,1
495,8,0
495,8,0
495,8,0
495,8,0
491,12,0
493,10,0
495,8,0
495,8,2
495,8,0
493,10,1
495,8,0
491,12,0
495,8,0
495,8,0
495,8,0
493,10,0
495,8,2
495,8,0
495,8,0
495,8,0
495,8,0
495,8,0
495,8,0
495,8,0
490,9,0
493,10,0
495,8,0
